,Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast_Conc,AQI,AQI_Category,Raw_Conc,Conc_Unit,Duration,QC_Name
331,Ulaanbaatar,PM2.5 - Principal,2018-01-14 20:00:00,2018,1,14,20,30.1,89.0,Moderate,31.0,UG/M3,1 Hr,Valid
339,Ulaanbaatar,PM2.5 - Principal,2018-01-15 04:00:00,2018,1,15,4,233.1,283.0,Very Unhealthy,261.0,UG/M3,1 Hr,Valid
340,Ulaanbaatar,PM2.5 - Principal,2018-01-15 05:00:00,2018,1,15,5,174.0,224.0,Very Unhealthy,115.0,UG/M3,1 Hr,Valid
341,Ulaanbaatar,PM2.5 - Principal,2018-01-15 06:00:00,2018,1,15,6,133.5,191.0,Unhealthy,93.0,UG/M3,1 Hr,Valid
342,Ulaanbaatar,PM2.5 - Principal,2018-01-15 07:00:00,2018,1,15,7,121.7,185.0,Unhealthy,110.0,UG/M3,1 Hr,Valid
343,Ulaanbaatar,PM2.5 - Principal,2018-01-15 08:00:00,2018,1,15,8,91.3,169.0,Unhealthy,61.0,UG/M3,1 Hr,Valid
345,Ulaanbaatar,PM2.5 - Principal,2018-01-15 10:00:00,2018,1,15,10,85.6,167.0,Unhealthy,83.0,UG/M3,1 Hr,Valid
346,Ulaanbaatar,PM2.5 - Principal,2018-01-15 11:00:00,2018,1,15,11,184.3,234.0,Very Unhealthy,283.0,UG/M3,1 Hr,Valid
347,Ulaanbaatar,PM2.5 - Principal,2018-01-15 12:00:00,2018,1,15,12,243.1,293.0,Very Unhealthy,302.0,UG/M3,1 Hr,Valid
348,Ulaanbaatar,PM2.5 - Principal,2018-01-15 13:00:00,2018,1,15,13,248.5,298.0,Very Unhealthy,254.0,UG/M3,1 Hr,Valid
349,Ulaanbaatar,PM2.5 - Principal,2018-01-15 14:00:00,2018,1,15,14,147.2,198.0,Unhealthy,46.0,UG/M3,1 Hr,Valid
350,Ulaanbaatar,PM2.5 - Principal,2018-01-15 15:00:00,2018,1,15,15,108.6,178.0,Unhealthy,70.0,UG/M3,1 Hr,Valid
351,Ulaanbaatar,PM2.5 - Principal,2018-01-15 16:00:00,2018,1,15,16,64.2,155.0,Unhealthy,20.0,UG/M3,1 Hr,Valid
353,Ulaanbaatar,PM2.5 - Principal,2018-01-15 18:00:00,2018,1,15,18,29.0,87.0,Moderate,18.0,UG/M3,1 Hr,Valid
354,Ulaanbaatar,PM2.5 - Principal,2018-01-15 19:00:00,2018,1,15,19,31.0,91.0,Moderate,33.0,UG/M3,1 Hr,Valid
355,Ulaanbaatar,PM2.5 - Principal,2018-01-15 20:00:00,2018,1,15,20,65.0,156.0,Unhealthy,99.0,UG/M3,1 Hr,Valid
356,Ulaanbaatar,PM2.5 - Principal,2018-01-15 21:00:00,2018,1,15,21,61.5,154.0,Unhealthy,58.0,UG/M3,1 Hr,Valid
357,Ulaanbaatar,PM2.5 - Principal,2018-01-15 22:00:00,2018,1,15,22,113.2,181.0,Unhealthy,165.0,UG/M3,1 Hr,Valid
358,Ulaanbaatar,PM2.5 - Principal,2018-01-15 23:00:00,2018,1,15,23,160.1,211.0,Very Unhealthy,207.0,UG/M3,1 Hr,Valid
359,Ulaanbaatar,PM2.5 - Principal,2018-01-16 00:00:00,2018,1,16,0,136.5,193.0,Unhealthy,113.0,UG/M3,1 Hr,Valid
365,Ulaanbaatar,PM2.5 - Principal,2018-01-16 06:00:00,2018,1,16,6,159.1,210.0,Very Unhealthy,149.0,UG/M3,1 Hr,Valid
367,Ulaanbaatar,PM2.5 - Principal,2018-01-16 08:00:00,2018,1,16,8,102.0,175.0,Unhealthy,114.0,UG/M3,1 Hr,Valid
368,Ulaanbaatar,PM2.5 - Principal,2018-01-16 09:00:00,2018,1,16,9,104.0,176.0,Unhealthy,106.0,UG/M3,1 Hr,Valid
369,Ulaanbaatar,PM2.5 - Principal,2018-01-16 10:00:00,2018,1,16,10,75.4,161.0,Unhealthy,47.0,UG/M3,1 Hr,Valid
370,Ulaanbaatar,PM2.5 - Principal,2018-01-16 11:00:00,2018,1,16,11,221.2,271.0,Very Unhealthy,367.0,UG/M3,1 Hr,Valid
375,Ulaanbaatar,PM2.5 - Principal,2018-01-16 16:00:00,2018,1,16,16,41.7,116.0,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
376,Ulaanbaatar,PM2.5 - Principal,2018-01-16 17:00:00,2018,1,16,17,26.3,81.0,Moderate,11.0,UG/M3,1 Hr,Valid
377,Ulaanbaatar,PM2.5 - Principal,2018-01-16 18:00:00,2018,1,16,18,13.6,54.0,Moderate,1.0,UG/M3,1 Hr,Valid
378,Ulaanbaatar,PM2.5 - Principal,2018-01-16 19:00:00,2018,1,16,19,13.6,54.0,Moderate,0.0,UG/M3,1 Hr,Invalid
379,Ulaanbaatar,PM2.5 - Principal,2018-01-16 20:00:00,2018,1,16,20,5.8,24.0,Good,2.0,UG/M3,1 Hr,Valid
380,Ulaanbaatar,PM2.5 - Principal,2018-01-16 21:00:00,2018,1,16,21,5.9,25.0,Good,6.0,UG/M3,1 Hr,Valid
385,Ulaanbaatar,PM2.5 - Principal,2018-01-17 02:00:00,2018,1,17,2,113.9,181.0,Unhealthy,118.0,UG/M3,1 Hr,Valid
386,Ulaanbaatar,PM2.5 - Principal,2018-01-17 03:00:00,2018,1,17,3,131.0,190.0,Unhealthy,148.0,UG/M3,1 Hr,Valid
387,Ulaanbaatar,PM2.5 - Principal,2018-01-17 04:00:00,2018,1,17,4,126.0,187.0,Unhealthy,121.0,UG/M3,1 Hr,Valid
